rate_cap_bps,seed,success,t_tree_first,t_tree_stable_first,duration_s,termination_reason,rx_Bps,tx_Bps,queue_delay_mean_s,queue_delay_p95_s,queue_overflow_drops,queue_overflow_drop_rate,queue_max_occupancy,reachable_from_root,N
inf,1,1,1.783,10.883,10.883,early_stop_stable,179.2,199.0,0.0,0.0,0,0.0,0,10,10
inf,2,1,3.767,10.333,10.333,early_stop_stable,133.5,148.1,0.0,0.0,0,0.0,0,10,10
inf,3,1,2.717,17.75,17.75,early_stop_stable,194.4,215.3,0.0,0.0,0,0.0,0,10,10
240.0,1,1,4.217,11.717,11.717,early_stop_stable,145.4,161.8,0.691456,2.433333,0,0.0,33,10,10
240.0,2,1,4.317,12.383,12.383,early_stop_stable,118.2,130.3,0.573668,1.533333,0,0.0,14,10,10
240.0,3,1,4.517,20.983,20.983,early_stop_stable,174.4,191.6,0.883085,2.466667,0,0.0,47,10,10
192.0,1,1,5.533,11.633,11.633,early_stop_stable,122.2,135.6,0.874525,2.416667,0,0.0,35,10,10
192.0,2,1,4.183,12.1,12.1,early_stop_stable,114.0,123.5,0.855489,2.366667,0,0.0,21,10,10
192.0,3,1,5.867,17.167,17.167,early_stop_stable,130.4,146.4,1.194073,3.45,0,0.0,36,10,10
144.0,1,1,6.017,16.617,16.617,early_stop_stable,118.8,133.2,1.955375,5.466667,0,0.0,75,10,10
144.0,2,1,5.167,13.6,13.6,early_stop_stable,91.8,101.9,1.352092,3.766667,0,0.0,31,10,10
144.0,3,1,5.783,19.183,19.183,early_stop_stable,115.1,127.0,2.288506,5.466667,0,0.0,62,10,10
120.0,1,1,6.6,15.167,15.167,early_stop_stable,97.7,108.0,2.429121,5.65,0,0.0,68,10,10
120.0,2,1,5.7,13.017,13.017,early_stop_stable,73.8,83.4,1.502578,4.1,0,0.0,35,10,10
120.0,3,1,7.367,19.917,19.917,early_stop_stable,95.5,106.9,3.181362,7.4,0,0.0,70,10,10
96.0,1,1,7.2,19.183,19.183,early_stop_stable,85.4,92.3,3.874972,8.966667,0,0.0,109,10,10
96.0,2,1,8.767,13.767,13.767,early_stop_stable,55.4,61.9,1.74108,4.916667,0,0.0,37,10,10
96.0,3,1,6.967,25.033,25.033,early_stop_stable,84.8,93.7,5.110401,11.366667,0,0.0,113,10,10
72.0,1,1,8.867,17.917,17.917,early_stop_stable,58.6,65.0,4.524227,9.1,0,0.0,110,10,10
72.0,2,1,9.6,14.6,14.6,early_stop_stable,44.4,48.5,2.501977,5.8,0,0.0,49,10,10
72.0,3,1,9.75,23.017,23.017,early_stop_stable,53.2,60.2,5.12417,10.8,0,0.0,110,10,10
48.0,1,1,11.483,21.017,21.017,early_stop_stable,38.5,42.8,6.461111,12.916667,0,0.0,127,10,10
48.0,2,1,12.667,21.033,21.033,early_stop_stable,37.1,40.5,5.018662,9.983333,0,0.0,88,10,10
48.0,3,1,10.267,25.967,25.967,early_stop_stable,37.9,42.5,7.067754,14.55,0,0.0,130,10,10
